match_id,defending_team_id,phase4_eligible_focal_observations,history_complete_focal_observations,ball_history_complete_focal_observations,B4_complete_focal_observations,final_common_comparison_observations,B4_retention_percentage
J03WMX,DFL-CLU-000008,4320,4320,4320,4320,4320,100.0
J03WMX,DFL-CLU-00000G,2629,2628,2628,2628,2628,99.961962723469
J03WN1,DFL-CLU-00000B,2856,2856,2856,2856,2856,100.0
J03WN1,DFL-CLU-00000S,2580,2580,2580,2580,2580,100.0
J03WOH,DFL-CLU-00000P,2600,2600,2600,2600,2600,100.0
J03WOH,DFL-CLU-000011,3516,3515,3515,3515,3515,99.97155858930603
J03WOY,DFL-CLU-00000P,3306,3304,3304,3304,3304,99.9395039322444
J03WOY,DFL-CLU-00000Q,3039,3038,3038,3038,3038,99.96709443896019
J03WPY,DFL-CLU-000005,4467,4464,4464,4464,4464,99.93284083277368
J03WPY,DFL-CLU-00000P,2610,2610,2610,2610,2610,100.0
J03WQQ,DFL-CLU-00000H,2650,2650,2650,2650,2650,100.0
J03WQQ,DFL-CLU-00000P,3648,3646,3646,3646,3646,99.9451754385965
J03WR9,DFL-CLU-00000I,4119,4118,4118,4118,4118,99.97572226268512
J03WR9,DFL-CLU-00000P,2439,2438,2438,2438,2438,99.9589995899959
J03WMX,ALL,6949,6948,6948,6948,6948,99.98560944020723
J03WN1,ALL,5436,5436,5436,5436,5436,100.0
J03WOH,ALL,6116,6115,6115,6115,6115,99.9836494440811
J03WOY,ALL,6345,6342,6342,6342,6342,99.95271867612293
J03WPY,ALL,7077,7074,7074,7074,7074,99.95760915642221
J03WQQ,ALL,6298,6296,6296,6296,6296,99.96824388694824
J03WR9,ALL,6558,6556,6556,6556,6556,99.96950289722476
ALL,ALL,44779,44767,44767,44767,44767,99.97320172402242
